informasi,label
Imbauan “jangan memindahkan pasien” setelah ia jatuh di kamar mandi atau kamar tidur,hoax
Mensterilkan jarum lalu menusukkan ke ujung jari-­jari hingga keluar 1–2 tetes darah,hoax
Menarik kedua daun telinga hingga memerah membantu pasien stroke,hoax
Membawa pasien secepatnya ke rumah sakit untuk mendapatkan tindakan reperfusi dalam 3–6 jam pertama stroke	,valid
Berkonsultasi langsung ke dokter untuk memverifikasi kebenaran informasi stroke,valid
Langsung membawa pasien ke rumah sakit apabila ada pasien stroke,valld
Memberikan terapi reperfusi dalam jam-jam pertama setelah kejadian pasien stroke  ,valid
Menusuk jarum pada jari untuk mengeluarkan sedikit darah pada pasien stroke,hoax
Menusuk jarum di bagian bawah daun telinga untuk mengeluarkan darah pada pasien stroke,hoax
"Menjaga pola hidup sehat untuk mencegah stroke: mengelola stres, rutin berolahraga, membatasi alkohol, dan pola makan teratur",valid
Segera membawa pasien dengan gejala stroke ke rumah sakit yang dilengkapi fasilitas CT Scan,valid
Melakukan CT Scan untuk menentukan apakah stroke bersifat iskemik atau hemoragik,valid
Pada stroke iskemik: menghancurkan bekuan darah dengan obat trombolitik atau prosedur endovaskular        ,valid
Pada stroke hemoragik: menghentikan perdarahan di otak melalui tindakan bedah atau intervensi lain,valid
Menusukkan jarum pada ujung jari pasien untuk mengeluarkan darah beberapa tetes,hoax
Mengandalkan tusukan jarum di jari sebagai upaya menurunkan tekanan darah pasien stroke,hoax
"Mensterilkan jarum dengan alkohol, lalu menusuk ujung jari hingga keluar darah sebagai pertolongan stroke",hoax
Metode tusuk jari dapat melancarkan saluran darah yang tersumbat        ,hoax
"Menggunakan metode FAST (Face, Arm, Speech, Time) untuk mengenali gejala stroke        ",valid
Segera membawa pasien stroke ke rumah sakit untuk penanganan medis	,valid
Menyaring informasi kesehatan dari internet sebelum menerapkannya	,valid
Menyebut stroke disebabkan oleh penumpukan kolesterol dan lemak dalam waktu lama,valid
Mengandalkan tusuk jarum untuk menghilangkan sumbatan stroke	,valid
"Mengonsumsi vitamin neurotropik (B1, B6, B12) dan rutin olahraga untuk menjaga kesehatan saraf	",valid
Menusuk jarum ke telinga pasien stroke untuk mencegah pendarahan otak lebih parah	,hoax
Menusuk jarum ke jari untuk mengurangi volume darah agar tekanan darah menurun	,hoax
Menangani pasien stroke di rumah dengan metode tusuk jarum	,hoax
Membawa pasien stroke langsung ke rumah sakit,valid
"Mengenali gejala stroke seperti lumpuh satu sisi tubuh, kesemutan, dan ngomong pelo",valid
"Menangani penderita stroke dalam waktu 3-4,5 jam pertama setelah muncul gejala	",valid
"Mendeteksi gejala awal stroke seperti wajah asimetris, lengan tak bisa diangkat, dan bicara cadel        ",valid
Membawa pasien ke rumah sakit dengan layanan stroke-ready setelah mengenali gejala stroke        ,valid
"Menangani stroke dengan kerokan, sembur, atau tusuk jarum untuk mengeluarkan darah kotor        ",hoax
Menganggap stroke sebagai nasib sehingga tidak melakukan tindakan medis        ,hoax
Mengira stroke sebagai angin duduk dan tidak segera membawa ke rumah sakit        ,hoax
Membaringkan penderita dalam posisi rileks untuk membantu pernapasan sebelum dibawa ke rumah sakit        ,valid
Melakukan CT Scan di rumah sakit untuk mengetahui adanya penyumbatan        ,valid
Menjalani MRI dan terapi obat melalui pembuluh darah setelah CT Scan jika ada sumbatan        ,valid
Menusukkan jarum ke jari-jari penderita untuk mencegah serangan stroke	,hoax
Menyebut stroke hanya terjadi karena penyumbatan pembuluh darah di otak	,valid
Mengatakan bahwa menusuk jari penderita diabetes berisiko infeksi dan memperbesar biaya pengobatan	,valid
Mengklaim bahwa stroke tidak dapat dicegah dan diobati,hoax
Mengklaim bahwa hanya orang tua yang dapat mengalami stroke	,hoax
Menganggap tanda stroke adalah rasa nyeri	,hoax
Mengira stroke terjadi pada organ jantung	,hoax
"Penderita stroke memiliki peluang pulih optimal 50% jika ditangani dalam 3-4,5 jam pertama	",valid
Stroke ringan seperti wajah asimetris sering diabaikan karena dianggap hanya terjadi pada orang tua	,hoax
"Mengira stroke akibat lumpuh mendadak adalah ""angin duduk"", lalu diobati dengan kerokan atau tusuk jarum	",hoax
Stroke bisa dicegah dan diatasi dengan deteksi dini dan penanganan cepat	,valid
"Saat gejala muncul, segera baringkan penderita dalam posisi rileks dan cari rumah sakit yang stroke-ready        ",valid
Penanganan di rumah sakit yang tidak optimal dapat menjadi hambatan setelah kesadaran rendah di rumah,valid
"Penanganan ideal stroke dimulai dengan CT Scan, MRI, dan terapi obat via pembuluh darah jika ditemukan penyumbatan        ",valid
Menusuk telinga pakai jarum bisa mencegah perdarahan parah di otak	,hoax
menusuk telinga sebagai pertolongan pertama pada stroke,hoax
Penanganan terbaik stroke adalah segera memanggil ambulans dan membawa pasien ke rumah sakit,valid
Stroke harus segera mendapat t-PA dalam waktu 3 jam pertama,valid
Menusuk telinga hingga berdarah tidak akan mengatasi stroke iskemik (akibat penyumbatan pembuluh darah),valid
Tidak ada bukti ilmiah bahwa menusuk telinga dapat membantu stroke hemoragik,valid
Menusuk telinga dengan jarum yang tidak steril bisa menyebabkan infeksi atau perdarahan tidak terkendali,valid
Stroke tidak bisa ditangani sendiri di rumah karena butuh alat monitoring dan diagnosa medis untuk menentukan jenis dan terapi stroke yang tepat,valid
Menusuk daun telinga dan jari dengan jarum steril untuk mengeluarkan darah saat stroke bisa membantu aliran oksigen masuk ke tubuh,hoax
Menusuk daun telinga untuk serangan stroke hanya kepercayaan masyarakat dan belum terbukti secara ilmiah,valid
Tidak ada keterkaitan rasional antara tusuk jarum pada daun telinga dengan penanganan stroke,valid
"Jika menemukan pasien stroke, baringkan kepala dengan kemiringan 30 derajat, jaga jalan napas lancar, dan jangan beri makan/minum",valid
Pertolongan pertama penderita stroke dengan menusukkan jarum ke ujung jari hingga berdarah,hoax
Pertolongan yang tepat adalah segera membawa penderita stroke ke rumah sakit agar mendapat terapi yang sesuai,valid
"Bila penyebab stroke adalah pecahnya pembuluh darah, maka terapi ditujukan untuk mencegah pecahnya semakin besar",valid
Mengeluarkan darah dari ujung jari tidak memiliki manfaat dalam penyembuhan pasien stroke dan dapat berisiko infeksi,hoax
Penanganan awal stroke adalah menjaga jalan napas dan kestabilan sirkulasi darah pasien,valid
Pasien stroke harus dibaringkan dengan tubuh menghadap ke samping kiri untuk mencegah cairan masuk ke saluran pernapasan,valid
"Penanganan pasti stroke bergantung pada jenis stroke, yang dapat dipastikan melalui pemeriksaan seperti CT scan dan MRI",valid
Stroke terjadi akibat gangguan pembuluh darah di otak yang menyebabkan hilangnya fungsi otak sementara atau permanen,valid
Tusuk jarum di daun telinga atau ujung jari untuk mengatasi stroke,hoax
Mengeluarkan darah dari ujung jari penderita stroke menyebabkan infeksi,valid
"Jika seseorang terkena stroke, pastikan jalan napas tetap terbuka dan segera bawa ke rumah sakit dengan ambulans",valid
"Stroke iskemik disebabkan oleh sumbatan pembuluh darah otak, sementara stroke hemoragik disebabkan oleh perdarahan otak",valid
Penyumbatan pembuluh darah otak bisa diselesaikan dengan cara tradisional seperti menusukkan jarum,hoax
"Setelah gejala stroke muncul, semakin cepat mendapatkan pertolongan medis, semakin tinggi peluang pemulihan",valid
Stroke adalah penyakit yang menyerang saraf yang terdapat pada otak sehingga menyebabkan berkurangnya fungsi anggota tubuh yang sarafnya sudah terserang.,valid
Penyakit stroke dapat disebabkan karena berbagai hal misalnya tekanan darah tinggi dan pecahnya pembuluh darah sehingga asupan oksigen keotak terganggu.,valid
"Jangan memindahkan posisi penderita saat dia jatuh, karena jika dipindahkan bisa menyebabkan pecahnya pembuluh darah dan stroke semakin parah.",valid
Tusuk ujung jari menggunakan jarum untuk menyadarkan penderita stroke yang pingsan. Penusukan dilakukan dengan jarak 1mm dari kuku.,hoax
Tarik telinga penderita stroke hingga berwarna merah dan tusuk ujung bawah telinga untuk mengatasi mulut yang menceng.,hoax
Pertolongan medis harus didapatkan dalam waktu 6 jam setelah penderita stroke mengalami gejala untuk mempercepat pemulihan.,valid
Segera bawa penderita stroke ke ahli medis setelah melakukan pertolongan pertama seperti tusukan jari atau telinga.,valid
Jarum membantu mengatasi beberapa penyakit termasuk stroke.,hoax
"Apabila mulut penderita terserang stroke menyamping atau mencor, kamu harus melakukan pijatan pada telinganya sampai memerah.",hoax
Lubangi telinga pada bagian kulit yang lembut menggunakan jarum hingga darah keluar. Lakukan hal itu pada kedua telinga penderita stroke,hoax
Stroke adalah masalah kesehatan berbahaya dan pembunuh nomor 3 di dunia.,vald
"Stroke adalah kondisi rusaknya sebagian otak karena pembuluh darah ke otak tersumbat, bocor, rusak, atau robek.        ",valid
Pencegahan stroke dilakukan dengan gaya hidup sehat serta mengurangi gula dan garam terutama bagi penderita diabetes dan hipertensi.        ,valid
Jangan memindahkan penderita stroke dari tempat asal untuk mencegah pecahnya pembuluh darah di otak.        ,valid
Menusuk semua ujung jari penderita stroke menggunakan jarum dapat membantu menyadarkan penderita dalam waktu 10 menit.        ,hoax
Menarik kedua telinga penderita hingga kemerahan dan menusuk bagian bawah telinga dengan jarum dapat mengembalikan kesadaran dan kondisi wajah penderita stroke.        ,hoax
"Setelah penderita stroke sadar, segera bawa ke rumah sakit atau klinik untuk mendapatkan penanganan medis lebih lanjut.        ",valid
Stroke merupakan penyakit saraf yang paling sering mengakibatkan cacat dan kematian,valid
Pertolongan pertama pada penderita stroke dengan mengeluarkan darah dari ujung jari dan telinga dapat menyelamatkan nyawa tanpa efek samping.,hoax
"Jika mulut penderita stroke mencong, tarik daun telinga hingga merah dan tusuk bagian bawah telinga agar darah keluar",hoax
jarum harus selalu disimpan di rumah karena dapat digunakan untuk mengatasi stroke,hoax
Pasien stroke tidak boleh dipindahkan dari tempatnya agar tidak menyebabkan kapileri otak meledak,valid
Tusuk ujung jari pasien stroke agar darah keluar dan pasien akan sadar kembal,hoax
"Jika mulut pasien berubah, pijat telinga lalu tusuk bagian lembut telinga hingga keluar dua tetes darah",hoax
Serangan stroke bisa terjadi pada siapa saja dan kapan saja karena adanya penyumbatan atau pecahnya pembuluh darah di otak,valid
menusuk ujung jari penderita stroke bisa mengatasi penyumbatan dan melancarkan darah,hoax
Menusuk jari pasien stroke dengan jarum harus dihindari karena bisa menimbulkan nyeri dan meningkatkan tekanan darah.,valid
Segera bawa penderita stroke ke rumah sakit untuk mendapatkan penanganan yang tepat,valid
"Semakin cepat pasien stroke dibawa ke rumah sakit, semakin besar kemungkinan untuk diselamatkan",valid
Penanganan cepat dapat menurunkan risiko kecacatan pascastroke.,valid
"Gejala stroke antara lain kelemahan pada satu sisi tubuh, kesulitan bicara, bicara pelo, gangguan penglihatan, dan nyeri kepala mendadak.",valid
menusuk jari penderita stroke untuk mengeluarkan darah dan mencegah pembuluh darah otak pecah,hoax
Cara menusuk jari dengan jarum dianggap bisa menyadarkan penderita stroke setelah beberapa menit.,hoax
menusuk telinga penderita stroke agar mulut kembali normal.,hoax
Satu-satunya tindakan yang harus segera dilakukan adalah membawa penderita stroke ke rumah sakit untuk tindakan reperfusi.,valid
"Pasien stroke harus segera diperiksa lengkap di rumah sakit, bukan ditusuk jarum.",valid
"Pasien stroke justru harus segera dipindahkan ke rumah sakit, bukan dibiarkan tetap di tempat",valid
"Memaksa penderita stroke duduk bisa menurunkan tekanan darah, lebih baik biarkan korban berbaring.",valid
Menusuk jari pasien stroke hanya membuang waktu dan bukan tindakan yang efektif.,valid
menusuk jari atau telinga penderita stroke berbahaya.,valid
menusuk ujung jari atau telinga penderita stroke dapat memperlancar aliran darah.      ,hoax
menarik telinga penderita stroke yang mulutnya mencong agar kembali normal,hoax
menusuk jarum atau menarik kuping efektif sebagai pertolongan pertama stroke,hoax
segera membawa penderita stroke ke rumah sakit.,valid
"Makin cepat pasien stroke ditolong, makin besar kemungkinan pemulihan.",valid
"Gejala stroke antara lain kelumpuhan di salah satu sisi tubuh, bicara pelo, kesemutan, atau pingsan.",valid
Masyarakat tidak boleh mencoba mengobati sendiri penderita stroke,valid
Stroke ringan yang tidak ditangani bisa menjadi berat dan fatal,valid
Stroke merupakan penyebab utama kematian,valid
menusukkan jarum dapat mencegah stroke.,hoax
menusukkan jarum untuk mencegah stroke adalah mitos dan membahayakan.,valid
"Tindakan menusuk jarum bisa sangat berbahaya, terutama bagi penderita diabetes",valid
Pertolongan pertama stroke bisa dilakukan dengan menusuk ujung jari dengan jarum yang dibakar sampai keluar darah.,hoax
Menarik daun telinga lalu menusuk bagian bawah telinga dengan jarum dapat menyadarkan penderita stroke,hoax
Pasien stroke akan sadar setelah darah keluar dari ujung jari dan telinga,hoax
Mengeluarkan darah dari jari dianggap bisa menyelamatkan pasien stroke,hoax
Pertolongan pertama untuk stroke hanya bisa dilakukan oleh dokter spesialis,valid
Pasien stroke harus segera dibawa ke rumah sakit,valid
Pertolongan pertama penderita stroke adalah dengan menusuk ujung jari menggunakan jarum steril agar darah keluar.,hoax
Menarik dan menusuk daun telinga penderita stroke bisa membuat sadar,hoax
Penderita stroke harus segera mendapatkan pertolongan medis,valid